# [검증 필요-가상코드] 모든 erp_code 는 실 ERP 코드가 아닌 PoC 가상 코드다. 운영 전환 전 ERP 마스터 추출로 교체 필수.
# [검증 필요] 세부항목 ERP 코드화 여부 미확정. erp_detail_codeable=N 이면 ERP 등록은 중공종 코드까지만 전송 + 세부는 detail_text 필드로.
jha_detail_item_id,erp_detail_code,detail_item_norm,jha_sub_type_id,erp_sub_code,sub_type_norm,jha_major_type_id,erp_major_code,row_count,erp_detail_codeable,map_status,note
DT0024,HBC-DT-0024,타워크레인 해체,SB002,HBC-SB-002,타워크레인(L형),MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0025,HBC-DT-0025,크레인 운반,SB003,HBC-SB-003,대형크레인,MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0026,HBC-DT-0026,크레인 하역,SB003,HBC-SB-003,대형크레인,MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0027,HBC-DT-0027,크레인 본체 궤도 하역 및 조립,SB003,HBC-SB-003,대형크레인,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0028,HBC-DT-0028,크레인 Weight 설치,SB003,HBC-SB-003,대형크레인,MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0029,HBC-DT-0029,크레인 붐대 조립,SB003,HBC-SB-003,대형크레인,MJ001,HBC-MJ-001,4,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0030,HBC-DT-0030,크레인 Back Stage 연결,SB003,HBC-SB-003,대형크레인,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0031,HBC-DT-0031,크레인 후크 및 W/R 설치,SB003,HBC-SB-003,대형크레인,MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0032,HBC-DT-0032,작업 전 준비,SB004,HBC-SB-004,건설작업용 리프트,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0033,HBC-DT-0033,기초 콘크리트 설치,SB004,HBC-SB-004,건설작업용 리프트,MJ001,HBC-MJ-001,5,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0034,HBC-DT-0034,설치용 장비 확인,SB004,HBC-SB-004,건설작업용 리프트,MJ001,HBC-MJ-001,4,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0035,HBC-DT-0035,자재 반입 및 하역,SB004,HBC-SB-004,건설작업용 리프트,MJ001,HBC-MJ-001,5,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0036,HBC-DT-0036,기초 프레임 설치,SB004,HBC-SB-004,건설작업용 리프트,MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0037,HBC-DT-0037,베이직 마스트 설치,SB004,HBC-SB-004,건설작업용 리프트,MJ001,HBC-MJ-001,5,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0038,HBC-DT-0038,적재함 설치,SB004,HBC-SB-004,건설작업용 리프트,MJ001,HBC-MJ-001,7,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0039,HBC-DT-0039,마스트 및 벽지지대 설치,SB004,HBC-SB-004,건설작업용 리프트,MJ001,HBC-MJ-001,10,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0040,HBC-DT-0040,설치완료 및 사용,SB004,HBC-SB-004,건설작업용 리프트,MJ001,HBC-MJ-001,11,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0041,HBC-DT-0041,사전준비,SB005,HBC-SB-005,낙하물방지망 설치,MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0042,HBC-DT-0042,자재운반 및 분배,SB005,HBC-SB-005,낙하물방지망 설치,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0043,HBC-DT-0043,수평브라켓 설치,SB005,HBC-SB-005,낙하물방지망 설치,MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0044,HBC-DT-0044,사다리거치용 브라켓 설치,SB005,HBC-SB-005,낙하물방지망 설치,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0045,HBC-DT-0045,"수평브라켓, 와이어 설치",SB005,HBC-SB-005,낙하물방지망 설치,MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0046,HBC-DT-0046,사다리 거치,SB005,HBC-SB-005,낙하물방지망 설치,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0047,HBC-DT-0047,안전망 펼치기,SB005,HBC-SB-005,낙하물방지망 설치,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0048,HBC-DT-0048,측벽 낙하물 방지망 설치,SB005,HBC-SB-005,낙하물방지망 설치,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0049,HBC-DT-0049,"낙하물방지망 인장, 결속",SB005,HBC-SB-005,낙하물방지망 설치,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0050,HBC-DT-0050,사전준비,SB006,HBC-SB-006,낙하물방지망 해체,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0051,HBC-DT-0051,낙하물방지망 해체,SB006,HBC-SB-006,낙하물방지망 해체,MJ001,HBC-MJ-001,4,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0052,HBC-DT-0052,사다리 틀 상부 인양,SB006,HBC-SB-006,낙하물방지망 해체,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0053,HBC-DT-0053,사다리 제거,SB006,HBC-SB-006,낙하물방지망 해체,MJ001,HBC-MJ-001,1,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0054,HBC-DT-0054,강관 파이프 제거,SB006,HBC-SB-006,낙하물방지망 해체,MJ001,HBC-MJ-001,1,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0055,HBC-DT-0055,클립콘 해체,SB006,HBC-SB-006,낙하물방지망 해체,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0056,HBC-DT-0056,자재정리,SB006,HBC-SB-006,낙하물방지망 해체,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0057,HBC-DT-0057,사전준비,SB007,HBC-SB-007,방호선반 설치,MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0058,HBC-DT-0058,자재운반 및 분배,SB007,HBC-SB-007,방호선반 설치,MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0059,HBC-DT-0059,브라켓 및 고정대 설치,SB007,HBC-SB-007,방호선반 설치,MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0060,HBC-DT-0060,방호선반 설치,SB007,HBC-SB-007,방호선반 설치,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0061,HBC-DT-0061,방호선반 설치 및 고정,SB007,HBC-SB-007,방호선반 설치,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0062,HBC-DT-0062,마무리 작업 및 자재정리,SB007,HBC-SB-007,방호선반 설치,MJ001,HBC-MJ-001,1,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0063,HBC-DT-0063,베이직 마스트 설치,SB007,HBC-SB-007,방호선반 설치,MJ001,HBC-MJ-001,1,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0064,HBC-DT-0064,발판선 해체,SB008,HBC-SB-008,방호선반 해체,MJ001,HBC-MJ-001,1,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0065,HBC-DT-0065,와이어 결속,SB008,HBC-SB-008,방호선반 해체,MJ001,HBC-MJ-001,1,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0066,HBC-DT-0066,방호선반 해체,SB008,HBC-SB-008,방호선반 해체,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0067,HBC-DT-0067,방호선반 양중,SB008,HBC-SB-008,방호선반 해체,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0068,HBC-DT-0068,브라켓 해체,SB008,HBC-SB-008,방호선반 해체,MJ001,HBC-MJ-001,1,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0069,HBC-DT-0069,자재 정리정돈,SB008,HBC-SB-008,방호선반 해체,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0070,HBC-DT-0070,자재 반입 및 준비,SB009,HBC-SB-009,수직보호망,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0071,HBC-DT-0071,설치작업,SB009,HBC-SB-009,수직보호망,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0072,HBC-DT-0072,해체 및 반출,SB009,HBC-SB-009,수직보호망,MJ001,HBC-MJ-001,1,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0073,HBC-DT-0073,작업준비,SB010,HBC-SB-010,수직보호망(갱폼),MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0074,HBC-DT-0074,설치작업,SB010,HBC-SB-010,수직보호망(갱폼),MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0075,HBC-DT-0075,해체작업,SB010,HBC-SB-010,수직보호망(갱폼),MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0076,HBC-DT-0076,자재 반입 및 준비,SB011,HBC-SB-011,수직보호망(계단연창),MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0077,HBC-DT-0077,계단연창 수직망 작업준비,SB011,HBC-SB-011,수직보호망(계단연창),MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0078,HBC-DT-0078,계단연창 수직망 설치,SB011,HBC-SB-011,수직보호망(계단연창),MJ001,HBC-MJ-001,4,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0079,HBC-DT-0079,해체 및 반출,SB011,HBC-SB-011,수직보호망(계단연창),MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0080,HBC-DT-0080,자재반입 및 작업준비,SB012,HBC-SB-012,안전난간대 설치,MJ001,HBC-MJ-001,4,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0081,HBC-DT-0081,안전난간대 설치,SB012,HBC-SB-012,안전난간대 설치,MJ001,HBC-MJ-001,6,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0082,HBC-DT-0082,종료 및 정리정돈 작업,SB012,HBC-SB-012,안전난간대 설치,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0083,HBC-DT-0083,안전난간대 해체,SB013,HBC-SB-013,안전난간대 해체,MJ001,HBC-MJ-001,4,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0084,HBC-DT-0084,종료 및 정리정돈 작업,SB013,HBC-SB-013,안전난간대 해체,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0085,HBC-DT-0085,작업 준비 및 자재 반입,SB014,HBC-SB-014,추락방지망 설치,MJ001,HBC-MJ-001,7,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0086,HBC-DT-0086,추락방지망 설치,SB014,HBC-SB-014,추락방지망 설치,MJ001,HBC-MJ-001,4,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0087,HBC-DT-0087,추락방지망 해체,SB015,HBC-SB-015,추락방지망 해체,MJ001,HBC-MJ-001,5,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0088,HBC-DT-0088,작업종료 및 정리정돈,SB015,HBC-SB-015,추락방지망 해체,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0089,HBC-DT-0089,작업 전 준비,SB016,HBC-SB-016,엘리베이터 개구부,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0090,HBC-DT-0090,자재 반입 및 운반,SB016,HBC-SB-016,엘리베이터 개구부,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0091,HBC-DT-0091,E/V PIT 낙하물 방지망 설치,SB016,HBC-SB-016,엘리베이터 개구부,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0092,HBC-DT-0092,안전난간대 설치,SB016,HBC-SB-016,엘리베이터 개구부,MJ001,HBC-MJ-001,5,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0093,HBC-DT-0093,E/V PIT內 이물질 제거,SB016,HBC-SB-016,엘리베이터 개구부,MJ001,HBC-MJ-001,6,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0094,HBC-DT-0094,작업발판 설치,SB016,HBC-SB-016,엘리베이터 개구부,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0095,HBC-DT-0095,안전보호구 착용,SB016,HBC-SB-016,엘리베이터 개구부,MJ001,HBC-MJ-001,1,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0096,HBC-DT-0096,E/V 작업,SB016,HBC-SB-016,엘리베이터 개구부,MJ001,HBC-MJ-001,1,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0097,HBC-DT-0097,상부 난간대 설치,SB016,HBC-SB-016,엘리베이터 개구부,MJ001,HBC-MJ-001,1,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0098,HBC-DT-0098,E/V PIT 내 경사합판 설치,SB016,HBC-SB-016,엘리베이터 개구부,MJ001,HBC-MJ-001,1,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0099,HBC-DT-0099,E/V PIT 내 경사합판 제거,SB016,HBC-SB-016,엘리베이터 개구부,MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0100,HBC-DT-0100,난간대 설치 및 작업종료,SB016,HBC-SB-016,엘리베이터 개구부,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0101,HBC-DT-0101,"E/V PIT 내 잔재물 제거, E/V PIT 추락방호시설 확인",SB017,HBC-SB-017,엘리베이터 철근절단,MJ001,HBC-MJ-001,6,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0102,HBC-DT-0102,산소-LPG 용접기 상태 점검[LPG 역화방지기 및 소화기 점검],SB017,HBC-SB-017,엘리베이터 철근절단,MJ001,HBC-MJ-001,6,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0103,HBC-DT-0103,하부(D-1)층 화재방지 및 낙하물 방지시설 설치,SB017,HBC-SB-017,엘리베이터 철근절단,MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0104,HBC-DT-0104,절단작업,SB017,HBC-SB-017,엘리베이터 철근절단,MJ001,HBC-MJ-001,5,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0105,HBC-DT-0105,하부층 잔재물 정리정돈,SB017,HBC-SB-017,엘리베이터 철근절단,MJ001,HBC-MJ-001,1,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0106,HBC-DT-0106,E/V PIT 방호시설 설치,SB017,HBC-SB-017,엘리베이터 철근절단,MJ001,HBC-MJ-001,1,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0107,HBC-DT-0107,설치계획서 사전검토,SB018,HBC-SB-018,시스템 동바리,MJ001,HBC-MJ-001,1,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0108,HBC-DT-0108,"자재하역, 운반, 양중",SB018,HBC-SB-018,시스템 동바리,MJ001,HBC-MJ-001,5,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0109,HBC-DT-0109,"잭베이스, 수직, 수평재  및 가새 설치",SB018,HBC-SB-018,시스템 동바리,MJ001,HBC-MJ-001,6,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0110,HBC-DT-0110,작업발판 설치,SB018,HBC-SB-018,시스템 동바리,MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0111,HBC-DT-0111,안전방망 및 외부 난간대 설치,SB018,HBC-SB-018,시스템 동바리,MJ001,HBC-MJ-001,4,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
